PY,authors,content,first_author,id,majority_rating,rating_1,rating_2,rating_3,rating_39,rating_7,ratings,tags,title,wosarticle__de,wosarticle__wc
2018.0,,"Background. The rapid adoption of smartphones and software applications (apps) has become prevalent worldwide, making these technologies nearly universally available. Low-cost mobile health (M-health) platforms are being rapidly adopted in both developed and emerging markets and have transformed the health care delivery landscape. Human factors optimization is critical to the safe and sustainable adoption of M-health solutions. The overall goal of engaging human factors requirements in the software app design process is to decrease patient safety risks while increasing usability and productivity for the end user. Methods. An extensive review of the literature was conducted using PubMed and Google search engines to identify best approaches to M-health software design based on human factors and user-centered design to optimize the usability, safety, and efficacy of M-health apps. Extracted data were used to create a health care app development algorithm. Results. A best practice algorithm for the design of mobile apps for global health care, based on the extracted data, was developed. The approach is based on an iterative 4-stage process that incorporates human factors and user-centered design processes. This process helps optimize the development of safe and effective mobile apps for use in global health care delivery and disease prevention. Conclusion. Mobile technologies designed for developing regions offer a potential solution to provide effective, low-cost health care. Applying human factors design principles to global health care app development helps ensure the delivery of safe and effective technologies tailored to the end-users requirements.",,1572864,,,,,,,0,,Human Factors-Based Mobile Application Design for Global Health,mobile health; M-health; application; apps; human factors; innovation; global health,['Surgery']
2018.0,,"Methanol-to-olefins (MTO) has received great attention, in which abundant renewable resources of biomass and biogas can be utilized as promising alternatives to crude oil in the production of light olefins. SAPO-34 is one of the most promising catalysts in MTO reaction, providing excellent selectivity toward ethylene and propylene. In this work, highly crystalline SAPO-34 catalysts with different SiO2/Al2O3 ratios have been applied in MTO reaction to elucidate the effects of particle size and acidity on the ""hydrocarbon pool"" intermediate distribution, which remarkably influence their catalytic performance in the reaction. A smaller particle size of SAPO-34 catalyst (e.g., 120-360 mesh) can improve the catalyst lifetime, but nearly no effect on the product distribution. A suitable density of Bronsted acid sites (BAS) was found to effectively prolong the catalyst lifetime and enhance the total selectivity toward light olefins (ethylene and propylene). GC MS and NMR analysis demonstrates that the suitable BAS density on SAPO-34 can suppress hydrogen transfer reaction for the formation of paraffins and the formation of polycyclic aromatics. The suitable BAS density was found to promote the formation of active ""hydrocarbon pool"" species, such as polymethylbenzenes, at a very low aromatic/CH3 ratio compared to those having a much higher BAS density (>0.2), which can significantly boost the selectivities to olefins as desired products and improve the catalyst lifetime at 100% conversion of methanol. Therefore, this work provides a potential way for the development of suitable catalysts for MTO reaction with high olefin selectivity and improved lifetime.",,1572865,,,,,,,0,,Tuning Hydrocarbon Pool Intermediates by the Acidity of SAPO-34 Catalysts for Improving Methanol-to-Olefins Reaction,Methanol-to-olefin reaction; SAPO-34; Bronsted acidity; Reaction mechanism,"['Chemistry, Multidisciplinary; Green & Sustainable Science & Technology;', 'Engineering, Chemical']"
2018.0,,"Background: Community-based health insurance (CBHI) has evolved as an alternative health financing mechanism to out of pocket payments in low- and middle-income countries (LMICs), particularly in areas where government or employer-based health insurance is minimal. This systematic review aimed to assess the barriers and facilitators to implementation, uptake and sustainability of CHBI schemes in LMICs. Methods: We searched six electronic databases and grey literature. We included both quantitative and qualitative studies written in English language and published after year 1992. Two reviewers worked in duplicate and independently to complete study selection, data abstraction, and assessment of methodological features. We synthesized the findings based on thematic analysis and categorized according to the ecological model into individual, interpersonal, community and systems levels. Results: Of 15,510 citations, 51 met the eligibility criteria. Individual factors included awareness and understanding of the concept of CBHI, trust in scheme and scheme managers, perceived service quality, and demographic characteristics, which influenced enrollment and sustainability. Interpersonal factors such as household dynamics, other family members enrolled in the scheme, and social solidarity influenced enrollment and renewal of membership. Community-level factors such as culture and community involvement in scheme development influenced enrollment and sustainability of scheme. Systems-level factors encompassed governance, financial and delivery arrangement. Government involvement, accountability of scheme management, and strong policymaker-implementer relation facilitated implementation and sustainability of scheme. Packages that covered outpatient and inpatient care and those tailored to community needs contributed to increased enrollment. Amount and timing of premium collection was reported to negatively influence enrollment while factors reported as threats to sustainability included facility bankruptcy, operating on small budgets, rising healthcare costs, small risk pool, irregular contributions, and overutilization of services. At the delivery level, accessibility of facilities, facility environment, and health personnel influenced enrollment, service utilization and dropout rates. Conclusion: There are a multitude of interrelated factors at the individual, interpersonal, community and systems levels that drive the implementation, uptake and sustainability of CBHI schemes. We discuss the implications of the findings at the policy and research level.",,1572866,,,,,,,0,,"Barriers and facilitators to implementation, uptake and sustainability of community-based health insurance schemes in low- and middle-income countries: a systematic review",Community health insurance; Community-based health insurance scheme; Implementation; Barriers and facilitators; Universal health coverage; Low- and middle-income countries,"['Public, Environmental & Occupational Health']"
2018.0,,"Background: A recent meta-analysis and systematic review suggested that single-incision laparoscopic cholecystectomy (SILC) had a higher procedure failure rate with more blood loss and that it required a longer surgical time than conventional laparoscopic cholecystectomy. Herein, we introduce our experience with the needlescopic grasper-assisted and bendable retractor-assisted SILC technique and evaluate its safety and sustainability. Methods: The present retrospective cohort study included 407 Japanese patients who underwent needlescopic grasper-assisted and bendable retractor-assisted SILC between January 2012 and April 2017 at our institution. Results: In the present study, all patients successfully underwent needlescopic grasper-assisted and bendable retractor-assisted SILC without conversion to open surgery. Regarding surgical outcomes, mean surgical time was 58.2 +/- 23.2 minutes, and additional ports were required in 9 patients (2.2%). Postoperative morbidity developed in only 6 patients (1.4%). Conclusions: The surgical approaches defined herein were safe and sustainable with favorable surgical outcomes. Compared with conventional SILC, needlescopic grasper-assisted and bendable retractor-assisted SILC might become a mainstream procedure for minimally invasive surgery from the viewpoint of surgical difficulty.",,1572867,,,,,,,0,,Stabilization of Single-incision Laparoscopic Cholecystectomy by Needle Puncture and Bendable Retractor,laparoscopic cholecystectomy; single-incision; needlescopic surgery,['Surgery']
2018.0,,"Re-shaping infrastructure systems and social practices within urban contexts has been promoted as a critical way to address a range of contemporary economic, environmental and social challenges. Though there are many attempts to re-imagine more sustainable urban contexts the challenge remains how to achieve such change. In this context, urban experiments have emerged as a way to stage purposive infrastructure interventions and learn what works in practice. The paper integrates literatures on urban governance and urban socio-technical experiments to extend analytical understanding of urban experimentation. Through a case study of 'sustainable transport' experimentation in Greater Manchester, we argue that place-based priorities that inform action on sustainable urban futures are conditioned by non-place-based, particularly national, interests. Our paper makes two key contributions. First, we illustrate how the (narrow) national conditioning of place-based priorities translates in to experimentation in episodic ways that are highly contextual. We detail how national priorities, stipulations and funding are mediated and translated at the urban scale where they set conditions for the range of interventions that are feasible in a particular context. The interventions that follow are then materially embedded in place through experimentation with processes of governing and constituting capacity. Second, we argue that the learning generated through these processes of experimentation is only weakly communicated back to conditioning institutions. The result is that there is strong conditioning of experimentation but weak experimentation with conditions. The paper illustrates how the potential of experimentation is conditioned and thus it brings to the fore the need to understand experimentation politically.",,1572868,,,,,,,0,,Conditioning experimentation: The struggle for place-based discretion in shaping urban infrastructures,Conditions; experiments; governance; urban; transport,"['Environmental Studies; Geography; Regional & Urban Planning; Public', 'Administration']"
2018.0,,"Preventing food wastage is a key element of sustainable resource management. But as food waste is still generated at high volumes, priority is placed on its proper management as a resource, maximising sustainability benefits. This study, by integrating a multi-criteria decision analysis with a sustainability assessment approach, develops a screening and decision support framework for comparing the sustainability performance of food waste management options. A structured process for selecting criteria based on the consideration of environmental, economic and social aspects related to region-specific food waste system planning, policy and management has been developed. Two food waste management options, namely the use of food waste disposal units, which grind food waste at the household's kitchen sink and discharge it to the sewer, and the anaerobic co-digestion of separately collected food waste with sewage sludge, were selected for comparison due to their potential to create synergies between local authorities, waste and water companies, with local circumstances determining which of the two options to adopt. A simplified process used for assessing and comparing the two food waste management options in the Anglian region in the UK, indicated that there are benefits in using the framework as a screening tool for identifying which option may be the most sustainable. To support decision-making, a detailed analysis that incorporates stakeholders' perspectives is required. An additional use of the framework can be in providing recommendations for optimising food waste management options in a specific region, maximising their sustainability performance.",,1572869,,,,,,,0,,A multi-criteria sustainability assessment framework: development and application in comparing two food waste management options using a UK region as a case study,Food waste; Food waste disposal units (FWDs); Anaerobic co-digestion; Sustainability assessment framework; Multi-criteria analysis; Decision-making,['Environmental Sciences']
2018.0,,"Many uncontrollable risks and uncertainties emerge during transitions pathways. Previous studies have examined the ""formula"" of successful sustainable initiatives (SIs), while there have been few attempts to explore the reciprocities amongst them. Therefore, this study is to investigate the linkages among and mutual benefits among SIs at different urban scales for tackling their risks and uncertainties. The low-carbon eco-city, green university and green building in China are selected as the representatives at city, community and building scales for elaborating their linkages. In the city-community-building system, the GB implementation builds up the internal momentum that can lead to the changes of sustainable interests, rules and beliefs at the community scale, which then results in the changes on city structures, according to the theory of multi-level perspective. Akin to living organisms, cities witness the energy and materials flowing across different urban scales. Resources during SI implementation at a specific level can be shared by SIs at other levels. Meanwhile, the output of an SI can be transferred as the input of SIs at other levels. The commonalities among assessment systems of LCEC, GU and GB can upscale or downscale the successful experiments across different scales, contributing to the overcome of political, financing and operating risks and certainties. This paper can inform people with understandings of the vertical integration of SIs for sustainability transitions on the one hand and can practically provide decision makers with an approach to overcoming the barriers in SI implementation on the other.",,1572870,,,,,,,0,,Promoting and implementing urban sustainability in China: An integration of sustainable initiatives at different urban scales,Sustainability transitions; Risks and uncertainties; Low-carbon eco-city; Green university; Green building; City-community-building system,"['Development Studies; Environmental Studies; Regional & Urban Planning;', 'Urban Studies']"
2018.0,,"Electrocatalytic reduction of benzaldehyde to benzyl alcohol on Pd supported on carbon felt was conducted in the aqueous phase using a continuous flow fixed-bed reactor at room temperature and atmospheric pressure. Methanol, ethanol, or isopropanol was added to the electrolyte to study the impact of alcohol type and concentration on the rates of benzaldehyde electrocatalytic hydrogenation (ECH) and H-2 evolution, which is the prevalent side reaction. Whereas the ECH rates and Faradaic efficiency decreased with increasing alcohol concentrations, H-2 evolution rates remained constant. The impact of the alcohol on hydrogenation was greater as the length of the alcohol's hydrocarbon chain increased. Increasing the benzaldehyde concentration allows for high ECH rates and high Faradaic efficiency. The reaction order increased from similar to 0.13 to similar to 0.66 with half-cell potential increasing from -650 to -1150 mV (vs Ag/AgCl). Kinetic analysis reveals that the changes in reaction order are due to changes in benzaldehyde (and H) surface coverages as a function of half-cell cathodic potential. Thus, the results shown here reveal how the performance of the continuous electrocatalytic operation is affected by the electrolyte composition and half-cell cathodic potential.",,1572871,,,,,,,0,,Kinetic Investigation of the Sustainable Electrocatalytic Hydrogenation of Benzaldehyde on Pd/C: Effect of Electrolyte Composition and Half-Cell Potentials,Electrocatalytic reduction; H-2 evolution; Flow electrocatalytic cells; Benzaldehyde reduction; Pd supported on carbon,"['Chemistry, Multidisciplinary; Green & Sustainable Science & Technology;', 'Engineering, Chemical']"
2018.0,,"A convenient, highly selective and metal-free synthesis of sulfoxides from alkenes and thiols using NHPI as an inexpensive and reusable organophotoredox catalyst is reported. The protocol involves radical thiol-ene/oxidation reaction cascade and utilizes visible light and air (O-2) as inexpensive, readily available, non-toxic and eco-sustainable reagents to afford up to 96% yields of the product at room temperature. (C) 2017 Elsevier Ltd. All rights reserved.",,1572872,,,,,,,0,,Visible-light-activated selective synthesis of sulfoxides via thiol-ene/oxidation reaction cascade,Thiol-ene reaction; Photocatalysis; Free radical; N-hydroxyphthalimide; Sulfoxides; Visible light,"['Chemistry, Organic']"
2018.0,,"Energy efficiency of systems stands out as a critical parameter to achieve sustainability. Heat transfer processes spend an important part of overall energy consumption, so the enhancement of its efficiency is an important research field. Nanofluids have received increasing attention to reach this goal because of its initial conception as thermal-improved working fluids. Nevertheless, the increase in thermal conductivity produced by the dispersion of nanoparticles should not be the only focus. In forced convection processes, viscosity plays an important role in achieving an improvement of the exchange of heat. In addition, the energy consumption needed to pump the new fluid is directly related to its viscosity. In this work, the rheological behaviour of different loaded functionalized graphene nanoplatelet dispersions (nanoparticle mass concentrations, wt%, of 0.25, 0.50, 0.75 and 1.0) in three based fluids (water, propylene glycol:water mixture at 30:70 wt% and propylene glycol:water mixture at 50:50 wt%) has been investigated by using a rotational rheometer. A double cone geometry was employed together with a cover specially appropriated to help thermostatization and avoid evaporation at high temperatures. The viscosity curves in the shear rate range from 10 to 1000 s(-1), with 10 points per decade, and in the temperature range from 283.15 to 353.15 K, with 10 K step, were determined for the three base fluids and the twelve different nanofluids. The dynamic viscosities values of the base fluids were compared with those available in the literature, absolute average deviations being lower than the experimental uncertainty. The dynamic viscosities of the nanofluids were obtained for the Newtonian ranges and their dependences with temperature and nanoadditive concentration were analysed, as well as the influence of the base fluid on these trends. Furthermore, the fitting parameters of an equation that models temperature and nanoparticle concentration dependences are provided, which allow to describe viscosity data for each of the three sets of nanofluids with deviations lower than 1.8%. Finally, linear viscoelastic oscillatory experiments were performed for those samples that showed evidences of Non-Newtonian behaviour in the non-linear tests. These oscillatory tests were carried out in the deformation range from 0.1 to 1000% at constant frequency, 1 Hz, and at 283.15 and 293.15 K. Unlike the base fluids and other nanofluids sets, the nanofluids of the analysed propylene glycol:water 50:50 nanofluid set at 283.15 K and 293.15 K present a clear shear thinning (pseudoplastic) non-Newtonian behaviour, the Newtonian plateaus being easily identified as the concentration rises in the lowest deformations range.",,1572873,,,,,,,0,,Rheological behaviour of functionalized graphene nanoplatelet nanofluids based on water and propylene glycol:water mixtures,Nanofluids; Rheological behaviour; Viscosity; Graphene nanoplatelets; Propylene glycol,['Thermodynamics; Mechanics']
